AREACD,AREANM,Male 0-4,Male 5-9,Male 10-14,Male 15,Male 16,Male 17,Male 18,Male 19,Male 20,Male 21,Male 22,Male 23,Male 24,Male 25-29,Male 30-34,Male 35-39,Male 40-44,Male 45-49,Male 50-54,Male 55-59,Male 60-64,Male 65-69,Male 70-74,Male 75-79,Male 80-84,Male 85-89,Male 90+,Female 0-4,Female 5-9,Female 10-14,Female 15,Female 16,Female 17,Female 18,Female 19,Female 20,Female 21,Female 22,Female 23,Female 24,Female 25-29,Female 30-34,Female 35-39,Female 40-44,Female 45-49,Female 50-54,Female 55-59,Female 60-64,Female 65-69,Female 70-74,Female 75-79,Female 80-84,Female 85-89,Female 90+
E06000047,County Durham,5.2,6,5.7,1,1,1,1.1,1.5,1.7,1.6,1.4,1.3,1.3,6.6,5.6,5.9,5.2,6.4,7.4,7.2,6.4,5.8,5.7,3.8,2.5,1.3,0.5,4.8,5.5,5.3,1,1,0.9,1,1.4,1.5,1.5,1.3,1.1,1.1,6.2,5.9,5.8,5.3,6.4,7.4,7.2,6.6,5.9,5.9,4.1,3.1,1.9,1.1
E06000005,Darlington,5.7,6.5,6.3,1.3,1.2,1.2,1,0.9,0.9,0.9,1.1,1,1.2,5.7,6.1,6.2,5.9,6.7,7.5,7.1,6.1,5.4,5.6,3.7,2.7,1.4,0.7,5.2,5.9,5.9,1.1,1,1,1,0.8,0.9,1,0.9,1.1,1.1,6,6.2,6.2,5.9,6.9,7.2,7,6.2,5.5,5.5,3.8,3.4,2,1.3
E06000001,Hartlepool,5.8,6.6,6.4,1.2,1.2,1.1,1.3,1.1,1,1,1.2,1.3,1.3,6.7,6.5,5.9,5.1,6.3,7.1,7.2,6.4,5.6,5.3,3.1,2.4,1.3,0.6,5.3,6.1,6,1,1.1,1,1,1,0.9,1,1.1,1.1,1.1,6.4,6.6,6,5.4,6.3,7.4,7.3,6.3,5.5,5.2,3.5,3.2,2,1.2
E06000002,Middlesbrough,7.1,7.2,6.3,1.2,1.2,1.2,1.3,1.4,1.5,1.7,1.8,1.8,1.6,8.4,7,5.6,5.2,5.6,6,6.2,5.5,4.5,4.2,2.7,2.1,1.1,0.4,6.5,6.7,6.1,1.1,1,1,1.1,1.3,1.4,1.5,1.5,1.4,1.4,7.3,6.7,6.2,5.1,5.9,6.3,6.6,6,4.9,4.3,3.2,2.7,1.7,0.9
E06000057,Northumberland,4.8,5.5,5.8,1.1,1.1,1.1,1.1,0.9,0.9,0.9,1,1.1,1,5.2,5.3,5.3,5.4,6.3,7.4,7.9,7.4,6.9,6.9,4.5,3,1.6,0.8,4.3,5,5,1,1,1,0.9,0.7,0.7,0.7,0.8,0.9,0.9,4.9,5.3,5.6,5.3,6.5,7.6,8.2,7.6,7.1,7,4.7,3.5,2.2,1.4
E06000003,Redcar and Cleveland,5.4,6.4,6.2,1.2,1.1,1.1,1.1,1,1,1,1.1,1.2,1.2,6.2,5.8,5.5,4.9,6,7.2,7.5,6.6,5.9,6.1,4.3,2.9,1.5,0.6,5,5.7,5.4,1,1,1,1,0.8,0.8,0.9,1.1,1,1,5.8,6.1,5.6,5,6.4,7.5,7.4,6.6,6.2,6.4,4.5,3.5,2.1,1.3
E06000004,Stockton-on-Tees,6,6.9,6.5,1.3,1.2,1.2,1.1,1,1,1,1.1,1.2,1.3,6.9,6.8,6.4,5.6,6.4,7.1,6.8,6,5.3,4.8,3.2,2.3,1.2,0.5,5.6,6.3,6.3,1.1,1.1,1,1,0.8,0.7,0.7,0.9,1,1.1,6.4,6.7,6.7,5.9,6.6,7.1,7.3,6.1,5.4,5.1,3.5,2.8,1.9,1
E08000037,Gateshead,5.4,5.9,5.6,1,1.1,1.2,1.2,1.3,1.2,1.2,1.2,1.4,1.4,6.7,7,6.8,6.1,6.4,6.9,6.9,6.1,5.1,5,3.4,2.6,1.4,0.6,5.1,5.5,5.4,1,1,1.1,1.1,0.9,0.9,1,1.1,1.3,1.3,6.5,7,6.7,5.7,6.4,7.1,7,6,5.2,5.4,3.9,3.3,2.1,1.2
E08000021,Newcastle upon Tyne,5.6,5.8,5.3,0.9,1,1,1.3,2.6,3.2,3.2,2.6,2.1,2.1,10.7,7.6,6,4.9,5.3,5.5,5.3,4.8,4,3.7,2.2,1.8,1,0.5,5.3,5.8,5.1,0.9,0.9,0.9,1.3,2.8,3.4,3.2,2.6,2.2,1.9,9.3,6.7,5.9,5,5.2,5.5,5.6,5,4.1,3.9,2.8,2.4,1.6,1.1
E08000022,North Tyneside,5.8,6.2,6.2,1.1,1.1,1.1,1.1,0.9,0.9,1,1.1,1.1,1,5.8,6.3,6.8,6.4,6.9,7.2,7.2,6.3,5.7,5.4,3.3,2.4,1.3,0.5,5.2,5.5,5.3,1,1,1,0.9,0.8,0.7,0.8,0.9,1,1,5.6,6.7,6.9,6.1,6.9,7.2,7.2,6.4,5.8,5.6,3.8,3.1,2.1,1.3
E08000023,South Tyneside,5.8,6.2,5.9,1.1,1.1,1.1,1,1.1,1,1,1.2,1.3,1.2,6.6,6.7,5.8,5.2,6.2,7.3,7.6,6.9,5.7,5.4,3.3,2.5,1.3,0.5,5.2,5.5,5.3,1,0.9,1,1,0.9,0.9,0.9,1,1,1.2,6.2,6.6,6.2,5.4,6.4,7.5,7.5,6.6,5.9,5.5,3.8,3.2,2.1,1.3
E08000024,Sunderland,5.7,6.2,5.8,1.1,1.1,1,1.1,1.1,1.1,1.2,1.2,1.4,1.3,7.4,6.8,5.8,5.3,6.3,7,7.2,6.6,5.6,5.1,3.3,2.4,1.3,0.4,5,5.4,5.3,1,1,0.9,1,1,1,1.1,1.2,1.2,1.2,7,6.5,5.9,5.5,6.6,7.1,7.2,6.5,5.8,5.6,3.8,3.1,2,0.9
E06000008,Blackburn with Darwen,7.1,7.6,7.3,1.4,1.4,1.4,1.3,1.3,1.2,1.2,1.3,1.4,1.5,6.8,6.6,7,6.2,6.6,6.7,6.1,5.1,4.3,4,2.4,1.7,0.8,0.3,7,7.1,7.3,1.3,1.4,1.4,1.3,1.1,1,1.1,1.2,1.3,1.2,6.2,7.1,7.1,5.9,6.6,6.6,6.1,5.1,4.4,4.1,2.8,2.2,1.4,0.7
E06000009,Blackpool,6.1,6.2,5.9,1.1,1.1,1.1,1.1,1,1,1.1,1.2,1.3,1.2,6.3,6.2,5.5,5.1,6.7,7.7,7.5,6.4,5.4,5.5,3.7,2.5,1.3,0.6,5.8,5.9,5.5,1.1,1,1.1,1,1,1,1.1,1.1,1.2,1.1,6.3,5.8,5.5,5.2,6.6,7.6,7.2,6.2,5.3,5.7,4.2,3.3,2,1.3
E06000049,Cheshire East,5.6,6.1,6.1,1.2,1.1,1.1,1,0.8,0.8,0.9,0.9,1,1.1,5.3,5.1,5.6,5.8,7.1,7.8,7.6,6.3,5.9,6.2,4.2,3,1.6,0.8,5,5.4,5.6,1.1,1,1,1,0.7,0.7,0.7,0.9,1,0.9,4.9,5.4,5.8,5.8,7.2,7.9,7.5,6.3,6,6.3,4.6,3.5,2.3,1.6
E06000050,Cheshire West and Chester,5.7,6.2,6,1.1,1.1,1,1.1,0.9,1.1,1.1,1.2,1.1,1.2,6,5.6,5.7,5.6,6.8,7.4,7.3,6.1,5.8,5.9,4,2.8,1.4,0.7,5,5.6,5.4,1,1,0.9,1,1,1.2,1.2,1.1,1.1,1,5.5,5.8,6,5.7,6.8,7.5,7.3,6.2,5.8,6,4.2,3.2,2,1.4
E06000006,Halton,6.2,6.9,6.8,1.2,1.1,1.1,1.1,1.1,1.1,1,1.1,1.2,1.2,6.2,6.3,6.3,5.8,6.7,7,6.8,6.1,5.8,5.3,3.1,2,1,0.4,5.6,6.2,6.2,1.1,1.1,1.1,1.1,0.9,0.9,0.9,1.1,1.1,1.1,6.3,6.6,6.5,5.9,6.9,6.8,7,6.5,5.8,5.1,3.4,2.5,1.6,0.8
E06000007,Warrington,5.7,6.4,6.2,1.2,1.2,1.2,1.2,1,0.9,1,1.1,1.2,1.2,6.3,6.4,6.5,6.1,7.3,7.7,7.3,5.7,5,4.9,3.4,2.4,1.1,0.5,5.3,6,5.8,1.1,1,1.1,1,0.8,0.8,0.8,1,1.1,1,5.8,6.4,6.6,6.1,7.2,7.6,7.1,5.8,5.2,5.4,4.1,3,1.7,1.1
E07000026,Allerdale,4.9,5.3,5.8,1.1,1.1,1.1,1,1,1,0.9,1,1,1.2,5.6,5.2,5.2,5,6.5,8.1,7.7,6.9,6.5,6.8,4.7,3.1,1.6,0.7,4.4,5.3,5.1,0.9,1,1,1,0.8,0.8,0.7,1,0.9,1,5,5,5.5,5.1,7,8,7.6,7,6.8,6.6,4.7,3.7,2.4,1.7
E07000027,Barrow-in-Furness,5.6,5.5,5.9,1.2,1,1.2,1.2,1,1.1,1.1,1.1,1.3,1.2,6.3,6.1,5.6,5.1,6.5,7.8,7.6,6.2,5.8,6.1,4.3,2.6,1.4,0.5,5.3,5.3,5.4,1,1,1,1.1,0.9,0.9,0.9,1,1.1,1.1,6.1,6.1,5.4,5.2,7.1,7.7,7.3,6.3,5.9,6.1,4.6,3.4,1.8,1.2
E07000028,Carlisle,5.6,6.1,5.8,1.2,1.1,0.9,1,0.9,0.9,1.1,1.1,1,1,5.9,5.7,6,5.6,6.8,7.3,7.6,6.8,6.1,5.7,4,2.7,1.5,0.6,5.1,5.6,5.2,1,0.9,1,1.1,0.9,1,1,1.1,1.1,0.9,6,5.5,6.1,5.3,6.6,7.3,7.4,6.6,6,5.8,4.3,3.3,2.2,1.5
E07000029,Copeland,5,5.8,5.6,1.1,1.1,0.9,1.1,0.9,0.8,1,1,1.2,1.1,6,5.6,5.4,4.9,6.4,7.9,8.1,7.4,6.4,6.4,4.3,2.9,1.4,0.5,4.8,5.3,5.1,1,1,1,0.9,0.7,0.8,0.9,1,0.9,1,5.5,5.7,5.7,5.4,6.9,7.9,8,7.1,6.4,6,4.4,3.4,2.1,1.3
E07000030,Eden,4.1,5.1,5.5,1.1,0.9,1,0.9,0.9,0.9,0.7,1,1,0.9,5.2,4.8,4.8,4.7,6.4,8.2,8.4,7.5,7.8,7.4,5,3.2,1.8,0.8,3.9,4.6,4.8,1,1,0.9,0.9,0.7,0.7,0.6,0.8,0.8,0.6,4.5,4.5,4.9,5.1,7,8.4,8.5,7.9,7.2,7.2,5,4,2.5,2
E07000031,South Lakeland,4.1,4.9,5.5,1.2,1.1,1.2,1.1,0.9,1,1,0.9,1.1,1,4.7,4.2,4.7,4.7,6.4,7.6,8,7.5,7.1,8,5.3,3.8,2,1,3.8,4.3,4.9,1,1,1,0.9,0.7,0.6,0.7,0.8,0.8,0.8,4,4.2,5,5.2,6.8,7.9,8.3,7.6,7.3,7.6,5.5,4.2,3,2.1
E08000001,Bolton,6.8,7.2,6.8,1.3,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.2,6.7,6.7,6.4,5.9,6.7,7,6.3,5.2,4.8,4.6,3.1,2.1,1,0.5,6.5,6.9,6.2,1.1,1.1,1.1,1.1,0.9,1,1,1.1,1.1,1.2,6.3,6.9,6.5,5.9,6.8,7,6.4,5.4,4.9,5,3.5,2.6,1.6,0.9
E08000002,Bury,6.5,7,6.7,1.3,1.3,1.2,1.1,1,1,1.1,1.1,1.3,1.3,6.5,6.5,6.6,5.9,6.6,7.2,6.7,5.4,4.9,4.9,3.3,2.2,1.1,0.6,5.8,6.4,6.1,1.1,1.1,1.1,1,0.8,0.9,0.9,1.1,1,1.1,6.3,7,6.6,6,6.8,7.2,6.7,5.4,5,5.3,3.7,2.8,1.7,1.1
E08000003,Manchester,6.8,6.7,5.9,1,1,1,1.2,2,2.4,2.4,2.5,2.4,2.3,12.2,10,7.9,5.8,5.3,5.1,4.2,3.5,2.8,2.3,1.4,1,0.5,0.3,6.7,6.6,5.8,1,1,1,1.2,2.2,2.7,2.6,2.6,2.4,2.3,11.7,8.7,7.2,5.5,5.2,5.3,4.6,3.6,2.9,2.5,1.9,1.5,0.9,0.6
E08000004,Oldham,7.2,7.3,7.2,1.4,1.4,1.4,1.3,1.2,1.2,1.2,1.3,1.3,1.3,6.9,6.8,6.4,5.8,6.5,6.8,5.9,5.1,4.4,4.2,2.9,1.9,0.9,0.5,6.7,7.1,6.8,1.2,1.2,1.3,1.2,1,1,1,1.2,1.2,1.3,6.5,7,6.7,5.7,6.4,6.6,6.3,5.1,4.6,4.6,3.4,2.4,1.5,0.9
E08000005,Rochdale,7.1,7.3,6.9,1.3,1.2,1.2,1.3,1.1,1.2,1.2,1.2,1.3,1.4,7.1,6.9,6.5,5.7,6.5,6.8,6.2,5.4,4.9,4.4,2.8,1.9,1,0.5,6.5,6.8,6.3,1.2,1.1,1.1,1.1,0.9,1,1,1.2,1.2,1.2,6.6,7.1,6.8,6.1,6.5,6.9,6.4,5.6,4.8,4.6,3.2,2.4,1.6,1
E08000006,Salford,6.9,6.7,6,1,1,1,1.1,1.3,1.5,1.5,1.4,1.6,1.6,9.3,9.2,7.8,5.8,5.7,6.2,5.7,4.7,3.9,3.7,2.4,1.8,0.9,0.4,6.7,6.5,5.7,1,1,1,1.1,1.4,1.5,1.5,1.4,1.7,1.7,8.9,8.4,7.4,5.6,5.8,6.2,5.6,4.6,4,3.9,3,2.2,1.4,0.9
E08000007,Stockport,6.2,6.6,6.5,1.2,1.1,1.2,1.1,0.9,0.8,0.9,1.1,1.1,1.1,5.9,6.1,6.4,6.4,6.8,7.2,6.8,6,5.2,5.1,3.6,2.6,1.5,0.7,5.6,6.1,5.7,1.1,1,1,1,0.8,0.7,0.7,1,1,1,5.8,6.6,6.8,6.2,6.8,7.3,6.9,5.7,5.2,5.4,4,3.2,2.1,1.3
E08000008,Tameside,6.7,6.8,6.2,1.2,1.1,1.2,1.1,1,1.1,1,1.2,1.3,1.2,6.6,6.6,6.4,5.9,6.7,7.4,7,5.8,4.9,5,3.2,2.1,1,0.4,6,6.5,5.9,1.1,1,1.1,1,0.9,0.9,0.9,1.1,1.1,1.2,6.8,7.1,6.6,5.7,6.7,7.4,6.8,5.4,5,5,3.6,2.7,1.6,0.8
E08000009,Trafford,6.2,7.4,7.3,1.3,1.3,1.2,1.1,0.9,0.8,0.9,1,1,1.1,5.5,6.2,7.1,7,7.3,7.1,6.7,5.5,4.6,4.3,2.9,2.2,1.3,0.7,5.8,6.7,6.7,1.2,1.2,1.2,1.1,0.7,0.7,0.7,0.9,1,1,5,6.3,7.4,7.3,7.3,7.3,6.7,5.3,4.6,4.5,3.5,2.9,1.9,1.3
E08000010,Wigan,5.8,6.3,6.3,1.2,1.2,1.1,1.1,1,1,1,1.1,1.1,1.1,6.3,6.5,6.4,5.8,7.2,7.8,6.9,5.6,5.3,5.4,3.7,2.2,1,0.4,5.4,5.8,5.8,1.1,1,1,1,0.8,0.9,0.9,1,1.1,1.1,6.2,6.7,6.5,5.8,7.2,7.6,7,5.7,5.4,5.7,4,2.7,1.5,0.9
E07000117,Burnley,6.9,7.1,6.7,1.2,1.2,1.1,1.2,1.1,1,1.2,1.1,1.1,1.2,6.5,6.5,6,5.8,6.2,6.9,6.6,6,5.2,5.2,3.4,2.1,1.1,0.5,6.3,6.5,6.3,1.1,1,1,1,0.8,0.9,1,0.9,1.1,1.2,6.6,6.8,6.4,5.7,6.1,6.8,6.8,5.7,5.2,5.5,3.6,2.6,1.7,1.3
E07000118,Chorley,5.4,6.2,6.1,1.2,1.1,1,1.1,0.8,0.9,0.9,1,1.1,1.1,5.8,6.3,6.5,6.4,7.5,7.6,7.3,5.8,5.6,5.8,3.7,2.3,1.1,0.5,5.2,6,5.7,1.1,1,1,0.9,0.7,0.8,0.8,0.9,1,1.1,5.4,6.8,6.3,6.2,7.3,7.7,6.9,6,5.7,5.9,4.1,2.7,1.7,1
E07000119,Fylde,4.3,5.2,5.5,1,1,1.1,1.1,0.8,0.8,0.8,1,0.8,0.8,4.8,5.1,5.4,5,6.5,7.8,8.2,7.2,6.8,7.5,5.1,3.6,2,0.9,3.9,5,5.3,1,1,0.9,0.9,0.6,0.6,0.6,0.8,0.8,0.7,4.3,4.8,5.1,5,6.5,7.9,8.1,7.1,6.8,7.6,5.5,4.4,3,1.9
E07000120,Hyndburn,6.6,7.1,6.7,1.2,1.3,1.2,1.2,1.2,1,1,1.3,1.3,1.2,6.4,6.3,6,5.7,6.6,7.3,6.5,5.5,4.9,5.2,3.5,2.2,1.1,0.5,6.4,6.4,6.2,1.1,1.1,1.1,1.1,0.9,1,1.2,1.1,1.2,1.2,6.3,6.8,6.4,5.5,6.7,6.8,6.6,5.5,5,5.5,3.7,2.7,1.7,1
E07000121,Lancaster,5.1,5.9,5.6,1,1,1,1.4,2.5,2.8,2.4,2.1,1.6,1.7,8.2,5,5.1,4.8,5.7,6.4,6.3,5.6,5.1,5.3,3.7,2.5,1.3,0.6,4.9,5.4,4.9,1,0.9,0.9,1.3,2.3,2.6,2.3,1.8,1.4,1.4,6.9,5.3,5.4,5.1,5.7,6.8,6.7,5.9,5.4,5.5,3.9,3.1,2,1.4
E07000122,Pendle,6.9,7.1,6.6,1.2,1.1,1.2,1.1,0.9,1,1,1.1,1.1,1,6.4,6.7,6.9,5.9,6.3,6.5,6.2,5.7,5.5,5.2,3.4,2.1,1.2,0.5,6.5,6.7,6.3,1.1,1,1.1,1.2,0.9,0.8,0.8,1,1,1,6.2,6.9,6.8,5.8,6.3,6.6,6.6,6,5.3,5.3,3.5,2.6,1.8,1
E07000123,Preston,6.6,6.6,6.4,1.2,1.1,1.1,1.1,1.5,1.9,1.8,2,2,1.8,8.6,7,6.4,5.7,6.3,6.4,6.1,4.9,4.2,3.6,2.5,1.8,1,0.4,6.5,6.5,6,1.1,1.1,1.1,1.1,1.6,1.9,2,2.1,1.8,1.5,7.9,6.5,6.3,5.5,6.1,6.3,6.2,5,4.3,3.9,2.9,2.4,1.5,0.8
E07000124,Ribble Valley,4.5,5.4,6.5,1.4,1.3,1.2,1.3,1,0.9,0.9,1.1,1.1,1.1,5.1,4.8,4.6,5,7.2,8.3,8.2,6.9,6.2,6.6,4.3,2.8,1.7,0.7,3.9,5.2,5.9,1.1,1.2,1.1,1.2,0.8,0.7,0.7,0.8,0.9,0.8,4.5,4.8,5.1,5.6,7.4,8.2,7.9,7.1,6,6.7,4.7,3.6,2.4,1.6
E07000125,Rossendale,5.9,6.7,6.6,1.1,1.3,1.2,1.1,0.9,0.9,0.9,1,1.1,1.3,5.8,6.1,6.2,5.9,7.1,8,7.1,6.1,5.6,5.5,3.2,2,1.1,0.5,5.3,6.3,6.2,1,1.1,1.1,1,0.9,0.8,0.9,0.9,1,1,5.8,6.6,6.3,6.3,7.2,7.6,7,5.9,5.7,5.4,3.4,2.4,1.6,1.1
E07000126,South Ribble,5.4,6.3,6.1,1.1,1.1,1.1,1.1,1,0.9,1,1.1,1.1,1,5.9,5.9,5.8,5.7,7.1,7.5,7.3,6.2,5.8,5.8,4,2.7,1.3,0.6,5,5.5,5.7,1.2,1,1,1,0.8,0.7,0.9,0.9,1,1,5.6,6.2,5.9,5.7,7,7.6,7.2,6,5.9,6.1,4.3,3.3,2,1.2
E07000127,West Lancashire,5.2,5.9,6.2,1.1,1.2,1.1,1.3,1.6,1.7,1.6,1.5,1.2,1.2,6.4,5.2,4.5,4.7,6.5,7.5,7.3,6.3,5.7,5.8,4.2,2.9,1.4,0.6,4.5,5.4,5.3,1.1,0.9,1,1.1,2.1,2.2,1.9,1.3,1.1,1,5.6,4.7,4.9,4.9,6.7,7.2,7.2,6.3,5.8,6.3,4.5,3.5,2.1,1.4
E07000128,Wyre,4.6,5.3,5.7,1.1,1.2,1,1.1,0.9,0.9,0.9,1,1,1,5.4,4.9,4.9,4.7,5.9,7.5,7.6,6.9,7,7.3,5.4,3.7,2,0.8,4.1,4.7,5.1,1,0.9,1,0.9,0.7,0.6,0.7,0.8,0.9,0.9,5,5,5.1,4.7,6.5,7.4,7.8,7,7,7.6,5.8,4.3,2.8,1.8
E08000011,Knowsley,7.4,7.1,6.4,1.1,1.2,1.1,1.2,1.1,1.1,1.3,1.2,1.3,1.3,7.1,6.7,5.8,4.9,5.9,6.6,7.5,6.5,5.2,4.4,2.8,2.2,1.1,0.5,6.3,5.9,5.6,1,1.1,1,1,0.9,1,1,1.3,1.3,1.2,7.1,7.2,6.2,5.3,6.3,7.2,7.5,6.5,5.3,4.3,3.1,2.8,1.8,1
E08000012,Liverpool,6.1,5.8,5.1,0.9,0.9,0.9,1.1,1.9,2.3,2.3,2.2,1.9,1.8,9.6,8.5,7.3,5.7,5.6,5.7,5.7,5,4.3,3.7,2.4,1.8,1,0.4,5.7,5.5,4.8,0.9,0.9,0.9,1.1,2.3,2.8,2.4,2.1,1.7,1.7,9.1,7.3,6.4,5.2,5.5,6.1,6.2,5.3,4.5,3.9,2.8,2.4,1.5,0.9
E08000014,Sefton,5.5,6.2,5.9,1.1,1.1,1.1,1.1,1,1,1,1.1,1.1,1.1,5.9,5.8,5.5,5,6.3,7.2,7.7,6.8,6.1,5.8,4.1,3.1,1.7,0.7,4.8,5.4,5.2,1,1,1,1,0.8,0.8,0.8,0.9,1,1,5.4,5.5,5.5,5.2,6.5,7.2,7.7,7,6.1,6,4.8,4,2.8,1.7
E08000013,St. Helens,5.9,6.2,5.9,1.1,1.1,1.1,1.1,1,1.1,1.1,1.1,1.1,1.2,6.5,6.5,6.1,5.7,6.8,7.3,7.1,6.1,5.6,5.5,3.8,2.6,1.3,0.4,5.3,5.8,5.6,1,1,1,1,0.8,0.9,0.8,1.1,1.1,1.2,6.3,6.7,6.1,5.5,6.9,7.2,6.9,5.9,5.7,5.9,4.2,3.3,1.8,1
